Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_038886615.1	Thermoproteota archaeon	2056631	SRBZ-1_202007_bins_94		2024-04-30	SAMN36038170	SRBZ-1_202007_bins_94		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886635.1	Candidatus Caldarchaeum sp.	2972665	SRBZ-1_202007_bins_99		2024-04-30	SAMN36038172	SRBZ-1_202007_bins_99		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886655.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_202007_bins_91		2024-04-30	SAMN36038169	SRBZ-1_202007_bins_91		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886675.1	Candidatus Methanomethylicaceae archaeon	2282146	SRBZ-1_202007_bins_89		2024-04-30	SAMN36038168	SRBZ-1_202007_bins_89		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886735.1	Candidatus Nitrosocaldus sp.	2697468	SRBZ-1_202007_bins_82		2024-04-30	SAMN36038165	SRBZ-1_202007_bins_82		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886755.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_202007_bins_76		2024-04-30	SAMN36038164	SRBZ-1_202007_bins_76		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886775.1	Candidatus Caldarchaeum sp.	2972665	SRBZ-1_202007_bins_69		2024-04-30	SAMN36038163	SRBZ-1_202007_bins_69		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886795.1	Sulfolobales archaeon	2268200	SRBZ-1_202007_bins_64		2024-04-30	SAMN36038162	SRBZ-1_202007_bins_64		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886815.1	Zestosphaera sp.	2303494	SRBZ-1_202007_bins_61		2024-04-30	SAMN36038161	SRBZ-1_202007_bins_61		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886835.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_202007_bins_49		2024-04-30	SAMN36038158	SRBZ-1_202007_bins_49		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886845.1	Nitrososphaerota archaeon	2026795	SRBZ-1_202007_bins_6		2024-04-30	SAMN36038159	SRBZ-1_202007_bins_6		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886875.1	Candidatus Caldarchaeum sp.	2972665	SRBZ-1_202007_bins_60		2024-04-30	SAMN36038160	SRBZ-1_202007_bins_60		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038886935.1	Thermofilum sp.	1961369	SRBZ-1_202007_bins_48		2024-04-30	SAMN36038157	SRBZ-1_202007_bins_48		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887015.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_202007_bins_44		2024-04-30	SAMN36038155	SRBZ-1_202007_bins_44		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887055.1	Sulfolobales archaeon	2268200	SRBZ-1_202007_bins_4		2024-04-30	SAMN36038154	SRBZ-1_202007_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887075.1	Candidatus Nezhaarchaeales archaeon	2952944	SRBZ-1_202007_bins_32		2024-04-30	SAMN36038153	SRBZ-1_202007_bins_32		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887095.1	Acidilobaceae archaeon	2933264	SRBZ-1_202007_bins_31		2024-04-30	SAMN36038152	SRBZ-1_202007_bins_31		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887155.1	Thermofilaceae archaeon	2268203	SRBZ-1_202007_bins_26		2024-04-30	SAMN36038151	SRBZ-1_202007_bins_26		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887215.1	Ignisphaera sp.	2268142	SRBZ-1_202007_bins_2		2024-04-30	SAMN36038150	SRBZ-1_202007_bins_2		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887235.1	Nitrososphaerota archaeon	2026795	SRBZ-1_202007_bins_110		2024-04-30	SAMN36038147	SRBZ-1_202007_bins_110		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07				true	contaminated	haploid
GCA_038887255.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_202007_bins_16		2024-04-30	SAMN36038148	SRBZ-1_202007_bins_16		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887275.1	Nitrososphaerota archaeon	2026795	SRBZ-1_202007_bins_17		2024-04-30	SAMN36038149	SRBZ-1_202007_bins_17		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887315.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201907_bins_9		2024-04-30	SAMN36038145	SRBZ-1_201907_bins_9		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887335.1	Thermofilaceae archaeon	2268203	SRBZ-1_201907_bins_6		2024-04-30	SAMN36038142	SRBZ-1_201907_bins_6		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887355.1	Acidilobaceae archaeon	2933264	SRBZ-1_201907_bins_7		2024-04-30	SAMN36038143	SRBZ-1_201907_bins_7		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887375.1	Thermosphaera sp.	2831947	SRBZ-1_201907_bins_8		2024-04-30	SAMN36038144	SRBZ-1_201907_bins_8		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887395.1	Ignisphaera sp.	2268142	SRBZ-1_201907_bins_5		2024-04-30	SAMN36038141	SRBZ-1_201907_bins_5		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887415.1	Pyrobaculum sp.	2004705	SRBZ-1_201907_bins_2		2024-04-30	SAMN36038140	SRBZ-1_201907_bins_2		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887435.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201907_bins_15		2024-04-30	SAMN36038139	SRBZ-1_201907_bins_15		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887455.1	Sulfolobales archaeon	2268200	SRBZ-1_201907_bins_11		2024-04-30	SAMN36038137	SRBZ-1_201907_bins_11		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887475.1	Acidilobaceae archaeon	2933264	SRBZ-1_201907_bins_1		2024-04-30	SAMN36038136	SRBZ-1_201907_bins_1		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038887495.1	Zestosphaera sp.	2303494	SRBZ-1_201901_bins_9		2024-04-30	SAMN36038135	SRBZ-1_201901_bins_9		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887515.1	Candidatus Nezhaarchaeales archaeon	2952944	SRBZ-1_201901_bins_7		2024-04-30	SAMN36038134	SRBZ-1_201901_bins_7		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887535.1	Sulfolobales archaeon	2268200	SRBZ-1_201901_bins_55		2024-04-30	SAMN36038132	SRBZ-1_201901_bins_55		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887555.1	Candidatus Bathyarchaeia archaeon	3045160	SRBZ-1_201901_bins_52		2024-04-30	SAMN36038130	SRBZ-1_201901_bins_52		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887575.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201901_bins_53		2024-04-30	SAMN36038131	SRBZ-1_201901_bins_53		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887595.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201901_bins_51		2024-04-30	SAMN36038129	SRBZ-1_201901_bins_51		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887635.1	Candidatus Korarchaeum sp.	2831942	SRBZ-1_201901_bins_49		2024-04-30	SAMN36038127	SRBZ-1_201901_bins_49		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887655.1	Ignisphaera sp.	2268142	SRBZ-1_201901_bins_50		2024-04-30	SAMN36038128	SRBZ-1_201901_bins_50		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887675.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201901_bins_48		2024-04-30	SAMN36038126	SRBZ-1_201901_bins_48		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887685.1	Thermoproteota archaeon	2056631	SRBZ-1_201901_bins_47		2024-04-30	SAMN36038125	SRBZ-1_201901_bins_47		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887715.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201901_bins_46		2024-04-30	SAMN36038124	SRBZ-1_201901_bins_46		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887735.1	Ignisphaera sp.	2268142	SRBZ-1_201901_bins_44		2024-04-30	SAMN36038123	SRBZ-1_201901_bins_44		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887755.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201901_bins_42		2024-04-30	SAMN36038122	SRBZ-1_201901_bins_42		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887775.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201901_bins_41		2024-04-30	SAMN36038121	SRBZ-1_201901_bins_41		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887795.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201901_bins_40		2024-04-30	SAMN36038120	SRBZ-1_201901_bins_40		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887815.1	Zestosphaera sp.	2303494	SRBZ-1_201901_bins_36		2024-04-30	SAMN36038119	SRBZ-1_201901_bins_36		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887835.1	Methanothermobacter sp.	1884223	SRBZ-1_201901_bins_35		2024-04-30	SAMN36038118	SRBZ-1_201901_bins_35		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887855.1	Ignisphaera sp.	2268142	SRBZ-1_201901_bins_34		2024-04-30	SAMN36038117	SRBZ-1_201901_bins_34		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887875.1	Candidatus Bathyarchaeia archaeon	3045160	SRBZ-1_201901_bins_30		2024-04-30	SAMN36038115	SRBZ-1_201901_bins_30		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887895.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201901_bins_28		2024-04-30	SAMN36038114	SRBZ-1_201901_bins_28		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887915.1	Thermofilum sp.	1961369	SRBZ-1_201901_bins_33		2024-04-30	SAMN36038116	SRBZ-1_201901_bins_33		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887935.1	Acidilobaceae archaeon	2933264	SRBZ-1_201901_bins_23		2024-04-30	SAMN36038111	SRBZ-1_201901_bins_23		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887955.1	Sulfolobales archaeon	2268200	SRBZ-1_201901_bins_24		2024-04-30	SAMN36038112	SRBZ-1_201901_bins_24		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887975.1	Thermofilaceae archaeon	2268203	SRBZ-1_201901_bins_20		2024-04-30	SAMN36038108	SRBZ-1_201901_bins_20		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887995.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201901_bins_19		2024-04-30	SAMN36038107	SRBZ-1_201901_bins_19		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888015.1	Acidilobaceae archaeon	2933264	SRBZ-1_201901_bins_17		2024-04-30	SAMN36038106	SRBZ-1_201901_bins_17		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888035.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201901_bins_16		2024-04-30	SAMN36038105	SRBZ-1_201901_bins_16		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888055.1	Thermofilaceae archaeon	2268203	SRBZ-1_201901_bins_21		2024-04-30	SAMN36038109	SRBZ-1_201901_bins_21		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01				true	contaminated	haploid
GCA_038888075.1	Thermosphaera sp.	2831947	SRBZ-1_201901_bins_14		2024-04-30	SAMN36038103	SRBZ-1_201901_bins_14		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888095.1	Candidatus Bathyarchaeia archaeon	3045160	SRBZ-1_201901_bins_15		2024-04-30	SAMN36038104	SRBZ-1_201901_bins_15		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888115.1	Pyrobaculum sp.	2004705	SRBZ-1_201901_bins_12		2024-04-30	SAMN36038102	SRBZ-1_201901_bins_12		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888135.1	Sulfolobales archaeon	2268200	SRBZ-1_201901_bins_1		2024-04-30	SAMN36038100	SRBZ-1_201901_bins_1		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888155.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_9		2024-04-30	SAMN36038099	SRBZ-1_201808_bins_9		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888175.1	Nitrososphaeria archaeon	2268198	SRBZ-1_201808_bins_8		2024-04-30	SAMN36038098	SRBZ-1_201808_bins_8		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888195.1	Candidatus Methanomethylicaceae archaeon	2282146	SRBZ-1_201901_bins_11		2024-04-30	SAMN36038101	SRBZ-1_201901_bins_11		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888215.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201808_bins_76		2024-04-30	SAMN36038097	SRBZ-1_201808_bins_76		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888255.1	Ignisphaera sp.	2268142	SRBZ-1_201808_bins_73		2024-04-30	SAMN36038095	SRBZ-1_201808_bins_73		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888275.1	Sulfolobales archaeon	2268200	SRBZ-1_201808_bins_70		2024-04-30	SAMN36038094	SRBZ-1_201808_bins_70		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888295.1	Fervidicoccaceae archaeon	2614264	SRBZ-1_201808_bins_68		2024-04-30	SAMN36038092	SRBZ-1_201808_bins_68		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888305.1	Thermoproteota archaeon	2056631	SRBZ-1_201808_bins_67		2024-04-30	SAMN36038091	SRBZ-1_201808_bins_67		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888335.1	Candidatus Methanomethylicaceae archaeon	2282146	SRBZ-1_201808_bins_62		2024-04-30	SAMN36038089	SRBZ-1_201808_bins_62		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888355.1	Sulfolobales archaeon	2268200	SRBZ-1_201808_bins_69		2024-04-30	SAMN36038093	SRBZ-1_201808_bins_69		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888375.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_60		2024-04-30	SAMN36038088	SRBZ-1_201808_bins_60		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888405.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_58		2024-04-30	SAMN36038087	SRBZ-1_201808_bins_58		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888435.1	Sulfolobales archaeon	2268200	SRBZ-1_201808_bins_54		2024-04-30	SAMN36038085	SRBZ-1_201808_bins_54		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888455.1	Candidatus Bathyarchaeia archaeon	3045160	SRBZ-1_201808_bins_52		2024-04-30	SAMN36038083	SRBZ-1_201808_bins_52		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888475.1	Candidatus Caldarchaeum sp.	2972665	SRBZ-1_201808_bins_53		2024-04-30	SAMN36038084	SRBZ-1_201808_bins_53		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888495.1	Pyrobaculum sp.	2004705	SRBZ-1_201808_bins_51		2024-04-30	SAMN36038082	SRBZ-1_201808_bins_51		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888515.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_49		2024-04-30	SAMN36038080	SRBZ-1_201808_bins_49		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888535.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_50		2024-04-30	SAMN36038081	SRBZ-1_201808_bins_50		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888555.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_43		2024-04-30	SAMN36038079	SRBZ-1_201808_bins_43		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888575.1	Zestosphaera sp.	2303494	SRBZ-1_201808_bins_42		2024-04-30	SAMN36038078	SRBZ-1_201808_bins_42		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888595.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201808_bins_41		2024-04-30	SAMN36038077	SRBZ-1_201808_bins_41		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888615.1	Candidatus Korarchaeum sp.	2831942	SRBZ-1_201808_bins_4		2024-04-30	SAMN36038075	SRBZ-1_201808_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888655.1	Candidatus Methanomethylicia archaeon	2268187	SRBZ-1_201808_bins_37		2024-04-30	SAMN36038074	SRBZ-1_201808_bins_37		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888675.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_29		2024-04-30	SAMN36038072	SRBZ-1_201808_bins_29		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888685.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201808_bins_3		2024-04-30	SAMN36038073	SRBZ-1_201808_bins_3		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08				true	contaminated	haploid
GCA_038888745.1	Candidatus Caldarchaeum sp.	2972665	SRBZ-1_201808_bins_26		2024-04-30	SAMN36038070	SRBZ-1_201808_bins_26		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888755.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201808_bins_25		2024-04-30	SAMN36038069	SRBZ-1_201808_bins_25		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888835.1	Candidatus Nezhaarchaeales archaeon	2952944	SRBZ-1_201808_bins_23		2024-04-30	SAMN36038067	SRBZ-1_201808_bins_23		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888855.1	Fervidicoccaceae archaeon	2614264	SRBZ-1_201808_bins_28		2024-04-30	SAMN36038071	SRBZ-1_201808_bins_28		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888895.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201808_bins_24		2024-04-30	SAMN36038068	SRBZ-1_201808_bins_24		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888975.1	Candidatus Bathyarchaeia archaeon	3045160	SRBZ-1_201808_bins_21		2024-04-30	SAMN36038066	SRBZ-1_201808_bins_21		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038888995.1	Archaeoglobaceae archaeon	2511821	SRBZ-1_201808_bins_19		2024-04-30	SAMN36038065	SRBZ-1_201808_bins_19		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889015.1	Fervidicoccaceae archaeon	2614264	SRBZ-1_201808_bins_15		2024-04-30	SAMN36038062	SRBZ-1_201808_bins_15		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889025.1	Thermofilaceae archaeon	2268203	SRBZ-1_201808_bins_16		2024-04-30	SAMN36038063	SRBZ-1_201808_bins_16		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889075.1	Ignisphaera sp.	2268142	SRBZ-1_201808_bins_18		2024-04-30	SAMN36038064	SRBZ-1_201808_bins_18		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889175.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201808_bins_14		2024-04-30	SAMN36038061	SRBZ-1_201808_bins_14		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889195.1	Nitrososphaerota archaeon	2026795	SRBZ-1_201808_bins_13		2024-04-30	SAMN36038060	SRBZ-1_201808_bins_13		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889215.1	Thermosphaera sp.	2831947	SRBZ-1_201808_bins_11		2024-04-30	SAMN36038058	SRBZ-1_201808_bins_11		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889325.1	Thermosphaera sp.	2831947	SRBZ-1_201803_bins_9		2024-04-30	SAMN36038055	SRBZ-1_201803_bins_9		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-03						haploid
GCA_038889375.1	Thermofilum sp.	1961369	SRBZ-1_201808_bins_10		2024-04-30	SAMN36038057	SRBZ-1_201808_bins_10		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889395.1	Desulfurococcaceae archaeon	2184738	SRBZ-1_201808_bins_1		2024-04-30	SAMN36038056	SRBZ-1_201808_bins_1		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
